Date,Cost,Notes
9/27/21,-13.83,PURCHASE AUTHORIZED ON 09/24 aliexpress 408-7855580 CA S301268079438974 CARD 8748
9/24/21,51.49,VENMO CASHOUT 210924 1015914674785 DYLAN ECK
9/20/21,-10.02,PURCHASE AUTHORIZED ON 09/18 SONIC DRIVE IN #55 SPOKANE WA S301262039205812 CARD 8748
9/20/21,-33.1,PURCHASE AUTHORIZED ON 09/17 SAFEWAY #3255 SPOKANE WA S581261139317226 CARD 8748
9/17/21,-80,PURCHASE AUTHORIZED ON 09/16 GB-*Theta Chi Kap 800-4573816 CA S581259665700844 CARD 8748
9/16/21,-500,PURCHASE AUTHORIZED ON 09/14 GB-*Theta Chi Kap 800-4573816 CA S301258186544675 CARD 8748
9/15/21,-38.2,PURCHASE AUTHORIZED ON 09/13 SAFEWAY #3255 SPOKANE WA S301257084065868 CARD 8748
9/14/21,-13.07,PURCHASE AUTHORIZED ON 09/12 WENDY'S 7706 SPOKANE WA S301255762951953 CARD 8748
9/13/21,-2.5,NON-WELLS FARGO ATM TRANSACTION FEE
9/13/21,-603,NON-WF ATM WITHDRAWAL AUTHORIZED ON 09/11 US BANK GONZAGA UNIV SPOKANE WA 00301255102746877 ATM ID SUS4U863 CARD 8748
9/13/21,-25.06,PURCHASE AUTHORIZED ON 09/10 SAFEWAY #3255 SPOKANE WA S581254124284133 CARD 8748
9/13/21,-7,PURCHASE AUTHORIZED ON 09/10 VENMO* Visa Direct NY S00301254114699790 CARD 8748
9/13/21,-27.25,PURCHASE AUTHORIZED ON 09/09 GONZAGA U - CASHNE 509-3136370 WA S301253091329390 CARD 8748
9/10/21,-17.15,PURCHASE AUTHORIZED ON 09/09 TARGET 0002 SPOKANE WA S301253023966275 CARD 8748
9/7/21,-14.19,PURCHASE AUTHORIZED ON 09/06 WAL-MART #5883 SPOKANE VALLE WA P00000000084254035 CARD 8748
9/7/21,-23.08,PURCHASE AUTHORIZED ON 09/04 FIRE ARTISAN PIZZA 208-6761743 ID S381247840873450 CARD 8748
9/7/21,-3,PURCHASE AUTHORIZED ON 09/04 DIAMOND PARKING IC COEUR D'ALENE ID S461247776051836 CARD 8748
9/7/21,-27.2,PURCHASE AUTHORIZED ON 09/04 AMZN Mktp US*25235 Amzn.com/bill WA S381247353276282 CARD 8748
9/7/21,-25.06,PURCHASE AUTHORIZED ON 09/03 SAFEWAY #3255 SPOKANE WA S301247143156078 CARD 8748
9/3/21,-14.95,RECURRING PAYMENT AUTHORIZED ON 09/02 CHEGG ORDER 855-440-1323 CA S301245435988012 CARD 8748
